community_id,n_contracts,n_vendors,n_agencies,total_spend,direct_rate,modified_rate,proxy_rate,flag_systemic,flag_collusion,flag_tight_community
171.0,6,2,1,90533350,1.0,0.0,0.0,0,0,0
97.0,3,1,1,90005614,1.0,0.0,0.0,0,0,0
123.0,6,2,1,83120000,1.0,0.0,0.0,0,0,0
92.0,4,1,2,81000000,1.0,0.0,0.0,0,0,0
178.0,10,3,1,77076264,1.0,0.0,0.0,0,0,0
99.0,6,1,1,76023600,1.0,0.0,0.0,0,0,0
250.0,6,2,1,75493333,1.0,0.6666666666666666,0.6666666666666666,0,0,0
175.0,22,2,1,73170854,0.0,0.0,0.0,0,0,0
247.0,5,1,2,69389879,0.0,0.0,0.0,0,0,0
206.0,7,2,2,69016229,1.0,0.0,0.0,0,0,0
177.0,6,2,1,68155789,1.0,0.0,0.0,0,0,0
62.0,6,2,1,67342020,1.0,0.0,0.0,0,0,0
82.0,5,2,2,63053000,1.0,0.0,0.0,0,0,0
57.0,8,2,3,61800000,1.0,0.25,0.25,0,0,0
66.0,9,3,1,61270000,1.0,0.0,0.0,0,0,0
182.0,3,1,1,60117785,1.0,0.3333333333333333,0.3333333333333333,0,0,0
93.0,3,1,1,57668000,1.0,0.0,0.0,0,0,0
228.0,3,1,1,56274940,1.0,0.3333333333333333,0.3333333333333333,0,0,0
115.0,3,1,1,55567600,0.0,0.0,0.0,0,0,0
169.0,5,1,1,52400000,1.0,0.0,0.0,0,0,0
181.0,9,2,2,49273609,1.0,0.2222222222222222,0.2222222222222222,0,0,0
100.0,3,1,1,44114537,1.0,0.0,0.0,0,0,0
96.0,3,1,1,35583333,1.0,0.0,0.0,0,0,0
165.0,3,1,1,34600000,1.0,0.0,0.0,0,0,0
6.0,3,1,1,30900000,1.0,0.0,0.0,0,0,0
2.0,3,1,1,28750000,1.0,0.0,0.0,0,0,0
208.0,6,2,1,27739800,1.0,0.0,0.0,0,0,0
46.0,3,1,1,22500000,1.0,0.0,0.0,0,0,0
91.0,3,1,1,20570000,1.0,0.0,0.0,0,0,0
0.0,3,1,1,19585260,1.0,0.0,0.0,0,0,0
73.0,3,1,1,19200000,1.0,0.0,0.0,0,0,0
243.0,3,1,1,18338619,1.0,0.3333333333333333,0.3333333333333333,0,0,0
218.0,4,1,2,18329293,0.0,0.0,0.0,0,0,0
72.0,3,1,1,18000000,1.0,0.0,0.0,0,0,0
59.0,3,1,1,17986000,1.0,0.0,0.0,0,0,0
187.0,3,1,1,17668352,1.0,0.6666666666666666,0.6666666666666666,0,0,0
215.0,6,1,1,17448989,0.0,0.0,0.0,0,0,0
71.0,3,1,1,11250000,1.0,0.0,0.0,0,0,0
200.0,3,1,1,8395000,0.0,0.0,0.0,0,0,0
101.0,3,1,1,8340000,1.0,0.0,0.0,0,0,0
54.0,3,1,1,7450000,1.0,0.0,0.0,0,0,0
